# Node A, Node B
0, 139
139, 135
139, 136
1, 211
1, 269
1, 34
211, 16
211, 133
269, 133
269, 286
34, 164
34, 163
2, 242
2, 206
2, 219
242, 147
206, 39
206, 55
219, 188
3, 168
3, 296
168, 113
296, 35
296, 252
4, 180
4, 114
180, 288
180, 244
114, 189
114, 205
5, 87
5, 222
87, 275
87, 208
222, 137
222, 208
6, 255
6, 233
255, 14
255, 57
255, 248
233, 56
233, 295
7, 112
7, 196
7, 46
112, 75
112, 149
196, 82
46, 58
46, 187
8, 198
198, 230
198, 265
9, 104
9, 141
9, 27
104, 25
104, 38
141, 38
141, 109
27, 194
10, 225
10, 142
225, 18
225, 291
142, 183
11, 183
11, 263
183, 66
263, 58
263, 186
12, 130
12, 36
130, 295
130, 155
36, 191
13, 161
13, 292
13, 82
161, 293
161, 165
292, 152
292, 293
82, 267
14, 158
14, 154
158, 160
158, 200
158, 185
154, 42
154, 185
15, 213
15, 172
15, 48
213, 64
213, 100
172, 68
172, 92
48, 64
48, 257
16, 70
16, 107
70, 173
70, 163
107, 197
17, 29
17, 204
29, 19
29, 31
204, 181
204, 284
18, 40
18, 217
40, 171
217, 145
217, 247
20, 227
20, 199
20, 166
227, 223
199, 162
199, 202
166, 272
166, 202
21, 195
21, 231
195, 138
195, 169
231, 138
231, 268
22, 251
22, 119
251, 77
251, 109
119, 44
119, 77
119, 261
23, 281
23, 79
23, 165
281, 218
281, 270
79, 230
165, 203
24, 150
150, 102
150, 128
25, 143
25, 275
143, 208
275, 96
26, 52
26, 282
52, 244
282, 123
282, 132
194, 121
194, 134
28, 88
28, 61
28, 156
88, 190
88, 238
61, 179
61, 238
156, 200
31, 74
31, 276
30, 209
30, 127
30, 145
209, 137
209, 271
127, 90
127, 136
145, 90
74, 106
276, 106
276, 224
32, 45
32, 240
32, 237
45, 69
45, 290
240, 96
237, 56
237, 167
33, 224
33, 279
33, 284
224, 228
279, 122
279, 228
284, 78
164, 62
164, 144
163, 131
35, 83
35, 103
83, 140
83, 261
103, 102
103, 261
191, 197
191, 229
37, 179
37, 200
37, 160
179, 256
160, 98
38, 95
95, 43
39, 147
39, 169
147, 92
169, 51
171, 66
171, 76
171, 250
41, 272
41, 201
41, 216
272, 259
272, 277
201, 71
201, 116
216, 106
216, 277
42, 274
42, 246
274, 210
274, 295
246, 117
246, 125
43, 236
43, 89
236, 65
236, 184
89, 167
44, 176
44, 73
176, 140
176, 207
73, 49
73, 207
69, 67
69, 96
290, 62
290, 131
58, 267
47, 118
47, 273
47, 129
118, 291
118, 181
129, 230
129, 270
64, 72
257, 188
49, 254
49, 120
254, 121
254, 162
120, 109
120, 121
50, 197
50, 249
50, 297
297, 126
297, 220
51, 55
51, 152
55, 93
152, 75
244, 192
53, 136
53, 153
53, 60
136, 148
60, 85
60, 63
54, 84
54, 175
54, 134
84, 262
84, 170
175, 97
175, 262
134, 287
93, 75
93, 299
56, 177
177, 81
177, 167
57, 81
57, 226
81, 258
226, 258
267, 174
59, 78
78, 270
85, 181
63, 144
63, 135
62, 182
182, 67
182, 135
72, 105
65, 258
65, 278
278, 128
278, 184
66, 91
91, 250
91, 186
68, 289
68, 110
289, 100
289, 146
173, 131
173, 155
71, 202
71, 207
105, 212
105, 239
76, 247
76, 266
247, 298
266, 151
266, 190
77, 157
157, 102
157, 128
80, 252
252, 188
140, 124
86, 178
86, 283
178, 123
178, 268
283, 241
283, 245
190, 294
90, 291
250, 108
186, 221
299, 264
299, 280
94, 193
193, 268
193, 241
97, 111
97, 288
111, 287
288, 132
98, 248
98, 214
214, 253
214, 239
99, 184
100, 215
215, 146
215, 256
101, 280
280, 113
108, 234
108, 151
234, 243
287, 162
149, 229
149, 264
113, 220
189, 115
189, 192
205, 115
115, 294
116, 285
285, 232
285, 235
117, 221
221, 125
122, 245
122, 218
245, 223
218, 241
125, 243
243, 185
126, 159
126, 133
159, 235
138, 203
203, 293
146, 260
260, 192
271, 298
277, 228
223, 259
259, 228
232, 286
