# Node 1, Node 2
0, 72
0, 104
1, 35
1, 57
1, 66
2, 30
2, 68
2, 105
3, 67
3, 76
3, 106
4, 43
4, 65
4, 119
5, 110
5, 116
6, 97
7, 87
7, 114
8, 11
8, 108
9, 89
9, 102
10, 60
11, 74
11, 85
12, 44
13, 111
13, 120
14, 95
14, 109
15, 16
15, 46
18, 19
18, 58
19, 28
20, 23
20, 53
21, 50
21, 62
21, 99
22, 64
24, 52
24, 69
24, 94
26, 86
27, 55
27, 92
27, 101
28, 51
29, 84
29, 113
5, 30
30, 80
30, 96
31, 40
31, 49
32, 122
34, 77
35, 38
35, 69
38, 112
39, 47
36, 40
40, 103
41, 61
42, 56
42, 78
42, 81
11, 43
44, 92
44, 109
19, 46
48, 91
36, 49
27, 50
33, 50
51, 100
54, 117
56, 59
56, 121
57, 116
59, 90
61, 118
63, 75
60, 65
65, 69
31, 66
66, 116
67, 96
67, 113
3, 68
70, 83
26, 72
72, 108
39, 76
75, 77
77, 117
59, 78
79, 88
46, 85
78, 86
83, 86
16, 87
82, 88
40, 89
89, 118
84, 92
93, 115
94, 112
75, 95
73, 96
13, 97
71, 99
79, 100
100, 117
84, 101
37, 102
58, 102
102, 118
103, 118
55, 104
95, 104
98, 104
82, 105
17, 106
32, 106
106, 111
22, 108
85, 108
37, 109
82, 110
91, 110
81, 111
45, 112
48, 112
113, 122
28, 114
88, 114
107, 114
25, 119
36, 119
33, 122
